LGA,SD,Claims,Pop_density,KI,Accidents,Population
DUNGOG,3,66,2.91e-4,122,201,19600
GLOUCESTER,3,46,1.54e-4,104,166,13650
GREATLAKES,3,419,5.83e-4,628,884,58850
LAKEMACQUARIE,3,2315,,,3969,472150
MAITLAND,3,508,0.01142,494,907,134150
MERRIWA,3,48,6.8e-5,109,134,7200
MURRURUNDI,3,34,9.5e-5,54,108,7050
MUSWELLBROOK,3,261,4.28e-4,374,476,44100
NEWCASTLE,3,3314,0.068973,,5581,403500
PORTSTEPHENS,3,558,0.00413,785,963,106150
SCONE,3,86,2.32e-4,168,264,27900
SINGLETON,3,308,3.45e-4,528,947,50800
KIAMA,4,255,0.005163,293,444,40100
SHELLHARBOUR,4,467,0.030569,608,878,134850
SHOALHAVEN,4,822,0.001224,1484,2069,167700
WINGECARRIBEE,4,514,0.001033,966,1335,83500
WOLLONGONG,4,3047,,,5423,522250
BALLINA,5,298,0.004728,531,686,69500
BYRON,5,220,0.003088,464,590,52650
CASINO,5,182,0.011675,161,208,32050
KYOGLE,5,61,2.61e-4,198,285,28050
LISMORE,5,411,0.002852,759,1046,110650
RICHMONDRIVER,5,111,2.96e-4,257,340,22350
TWEED,5,381,0.003318,812,1196,130100
BELLINGEN,6,198,6.27e-4,307,428,30000
COFFSHARBOUR,6,552,0.004259,923,1192,122750
COPMANHURST,6,28,1.22e-4,110,104,11500
GRAFTON,6,278,0.020117,320,416,49650
GREATERTAREE,6,703,9.49e-4,940,1208,106400
HASTINGS,,535,0.001063,977,1245,119600
KEMPSEY,6,407,6.75e-4,525,638,67200
MACLEAN,6,138,0.00104,280,351,32600
NAMBUCCA,6,193,9.25e-4,367,425,41500
NYMBOIDA,6,27,5.5e-5,84,132,8450
ULMARRA,6,88,2.7e-4,268,350,13600
ARMIDALE,7,318,0.059329,396,578,60800
BARRABA,7,11,9e-5,46,65,8300
BINGARA,7,8,8.2e-5,38,71,6900
DUMARESQ,7,38,8.7e-5,120,163,11050
GLENINNES,7,53,0.009015,69,118,18450
GUNNEDAH,7,88,2.66e-4,257,364,40200
GUYRA,7,49,1.08e-4,149,232,14300
INVERELL,,99,1.87e-4,276,386,48000
MANILLA,7,12,1.48e-4,43,65,9850
MOREEPLAINS,7,123,9.5e-5,402,548,50900
NARRABRI,7,125,1.2e-4,370,486,47300
NUNDLE,,10,8.3e-5,31,69,3950
PARRY,7,77,2.58e-4,271,358,33800
QUIRINDI,,43,1.81e-4,112,171,16600
SEVERN,7,21,5.6e-5,163,249,9300
TAMWORTH,7,382,0.018097,463,755,100400
TENTERFIELD,7,64,9.2e-5,262,365,19750
URALLA,7,61,1.74e-4,125,173,16750
WALCHA,7,42,5.7e-5,133,169,10750
YALLAROI,7,9,7.2e-5,65,89,11600
BOGAN,,56,2.5e-5,112,112,10950
BOURKE,9,44,1e-5,127,131,13000
BREWARRINA,9,26,1.3e-5,74,71,7250
COBAR,9,41,1.2e-5,113,150,17050
COOLAH,9,44,9e-5,119,196,12900
COONABARABRAN,9,91,9.7e-5,236,297,21750
COONAMBLE,9,40,5.5e-5,109,139,17450
DUBBO,9,509,9.9e-4,741,971,91650
GILGANDRA,9,47,1.14e-4,109,140,14700
MUDGEE,9,143,2.68e-4,343,474,44550
NARROMINE,9,59,1.25e-4,127,160,19750
WALGETT,8,70,3.3e-5,177,214,22350
WARREN,9,19,3.5e-5,64,72,11300
WELLINGTON,8,153,2.17e-4,255,303,26900
BATHURST,9,483,0.010382,507,753,74550
BLAND,9,107,9.1e-5,255,250,23250
BLAYNEY,9,93,3.97e-4,171,200,18250
CABONNE,9,135,2.13e-4,428,506,38400
COWRA,9,122,4.19e-4,282,392,35200
EVANS,9,62,1.06e-4,265,307,13700
FORBES,9,150,2.33e-4,188,205,33000
GREATERLITHGOW,9,370,5.8e-4,696,930,60750
LACHLAN,9,48,5.6e-5,128,166,25000
OBERON,9,73,1.32e-4,142,199,11500
ORANGE,9,656,0.011212,577,877,96350
PARKES,9,172,2.43e-4,274,314,43250
RYLSTONE,9,54,1.05e-4,139,207,12000
WEDDIN,9,34,1.24e-4,111,142,12650
BEGAVALLEY,10,143,3.59e-4,429,636,67650
BOMBALA,10,26,8e-5,97,117,9500
BOOROWA,10,22,1e-4,83,118,7700
COOMA-MONARO,10,116,1.9e-4,225,339,28100
CROOKWELL,10,70,1.24e-4,91,130,13450
EUROBODALLA,10,243,5.9e-4,557,856,60600
GOULBURN,10,462,0.040136,453,616,65500
GUNNING,10,49,9.2e-5,304,425,6150
MARDEN,10,69,2.2e-4,154,232,12350
MULWAREE,10,157,9.4e-5,403,491,14500
QUEANBEYAN,10,215,0.062969,428,655,66400
SNOWYRIVER,10,128,8.6e-5,310,465,15650
TALLAGANDA,10,46,7.3e-5,150,238,7250
YARROWLUMLA,10,45,2.03e-4,284,377,18200
YASS,10,190,,449,582,24100
YOUNG,10,90,4.08e-4,130,233,32800
CARRATHOOL,11,46,1.8e-5,117,141,10200
COOLAMON,11,37,1.66e-4,90,116,12200
COOTAMUNDRA,,91,5.45e-4,200,231,24600
GRIFFITH,11,519,0.001306,401,514,64000
GUNDAGAI,11,111,1.66e-4,,267,12200
HAY,11,44,3.4e-5,89,114,11750
JUNEE,11,21,2.7e-4,92,119,16300
LEETON,11,102,9.53e-4,195,255,33750
LOCKHART,11,25,1.29e-4,71,101,11250
MURRUMBIDGEE,11,32,6.9e-5,71,85,7200
NARRANDERA,11,95,1.79e-4,171,201,22300
TEMORA,11,64,2.32e-4,108,138,19550
TUMUT,11,113,3.14e-4,232,353,35950
WAGGAWAGGA,11,617,0.00103,962,1456,149500
ALBURY,12,511,0.036569,978,1390,116450
BALRANALD,12,46,1.4e-5,102,96,8800
BERRIGAN,12,65,3.73e-4,127,123,23100
COHARGO,12,0,4.9e-5,17,22,5400
CORONA,12,34,3.24e-4,101,130,21000
CULCAIRN,12,24,2.76e-4,78,109,13250
DENILIQUIN,12,71,0.005383,133,185,23850
HOLBROOK,12,97,1e-4,165,149,7750
HUME,12,30,2.85e-4,152,181,16450
JERILDERIE,12,11,6.6e-5,36,52,6750
MURRAY,,17,1e-4,82,96,13050
TUMBARUMBA,12,35,9.3e-5,92,112,12050
URANA,12,15,5.3e-5,69,63,5350
WAKOOL,,24,6.5e-5,150,130,14650
WENTWORTH,12,35,2.8e-5,153,174,21950
WINDOURAN,,0,1e-5,11,17,1450
BROKENHILL,13,912,0.038558,505,540,77400
CENTRALDARLING,13,75,6e-6,160,130,9550
UNINCORPORATEDAREA,13,5,1e-6,122,110,3650
