"claim_no","claim_amount_true"
"H00174",329.16
"H00175",322.34
"H00176",318.07
"H00177",239.4
"H00178",196.1
"H00179",122.41
"H00180",71.19
"H00181",12234.82
"H00182",10829.25
"H00183",10630.81
"H00184",10524.64
"H00185",7238.13
"H00186",7186.92
"H00187",6854.02
"H00188",6710.3
"H00189",6130.31
"H00190",4338.29
"H00191",4277.12
"H00192",3783.74
"H00193",3735.9
"H00194",3610.27
"H00195",3549.95
"H00196",3425.62
"H00197",3376.9
"H00198",3206.76
"H00199",2788.24
"H00200",2764.49
"H00201",2724.04
"H00202",2334.58
"H00203",2300
"H00204",2269
"H00205",2249.45
"H00206",2169.88
"H00207",2015.32
"H00208",1929.81
"H00209",1924.69
"H00210",1638.49
"H00211",1209.52
"H00212",1200
"H00213",1134.63
"H00214",1061.8
"H00215",1056.18
"H00216",1006.41
"H00217",989.28
"H00218",970.31
"H00219",945.8
"H00220",899.13
"H00221",892.6
"H00222",865.12
"H00223",782.2
"H00224",774.68
"H00225",742.91
"H00226",683.57
"H00227",666.33
"H00228",649.74
"H00229",628.19
"H00230",503.78
"H00231",498.74
"H00232",444.39
"H00233",405.39
"H00234",382.33
"H00235",304.22
"H00236",274.8
"H00237",248.49
"H00238",195.3
"H00239",193.23
"H00240",187.72
"H00241",179.55
"H00242",135.67
"H00243",101.16
"H00244",86.43
"H00245",14639.15
"H00246",11010.46
"H00247",10174.4
"H00248",9475.74
"H00249",9437.95
"H00250",8124.98
"H00251",7833.52
"H00252",7610
"H00253",7326.67
"H00254",6986.85
"H00255",6746.98
"H00256",5301.72
"H00257",4831.97
"H00258",4476.68
"H00259",4076.88
"H00260",3740.21
"H00261",3596.5
"H00262",3043
"H00263",2606.03
"H00264",2589.5
"H00265",2528.13
"H00266",2501.97
"H00267",2322.72
"H00268",2133.62
"H00269",1944.45
"H00270",1879.54
"H00271",1522.65
"H00272",1491.69
"H00273",1485.52
"H00274",1472.05
"H00275",1314.4
"H00276",1223.3
"H00277",1106.86
"H00278",1032.14
"H00279",1015.62
"H00280",953.72
"H00281",937.96
"H00282",906.62
"H00283",836.78
"H00284",820.64
"H00285",774.87
"H00286",696.57
"H00287",687.56
"H00288",685.88
"H00289",581.7
"H00290",570.89
"H00291",548.94
"H00292",522.75
"H00293",517.97
"H00294",504.46
"H00295",491.4
"H00296",479
"H00297",462.17
"H00298",451.53
"H00299",426.19
"H00300",403.61
"H00301",398.95
"H00302",393
"H00303",368.32
"H00304",363.75
"H00305",359.44
"H00306",356.07
"H00307",343.25
"H00308",340.03
"H00309",339.51
"H00310",305.69
"H00311",288.3
"H00312",266.8
"H00313",224.6
"H00314",186.97
"H00315",143.7
"H00316",125
"H00317",12124.64
"H00318",11051.5
"H00319",11043.09
"H00320",8324.07
"H00321",7885.15
"H00322",7834.57
"H00323",7415.03
"H00324",6180.88
"H00325",4369.38
"H00326",3992.63
"H00327",3651.67
"H00328",3634.26
"H00329",3599.2
"H00330",3505.61
"H00331",3112.89
"H00332",3092.83
"H00333",2683.16
"H00334",2606
"H00335",2520
"H00336",2500
"H00337",2460.3
"H00338",2253.16
"H00339",2229.05
"H00340",2130.6
"H00341",2049
"H00342",1994.56
"H00343",1921.22
"H00344",1701.82
"H00345",1472.87
"H00346",1468.48
"H00347",1444.89
"H00348",1392.52
"H00349",1368.76
"H00350",1346.36
"H00351",1335.27
"H00352",1304.64
"H00353",1275
"H00354",1264.87
"H00355",1231.08
"H00356",1073.61
"H00357",1028.87
"H00358",997.05
"H00359",944.7
"H00360",910.68
"H00361",904.68
"H00362",872.18
"H00363",868.69
"H00364",801.39
"H00365",772.23
"H00366",764.1
"H00367",730.53
"H00368",714.55
"H00369",708.92
"H00370",701.82
"H00371",688.67
"H00372",685.59
"H00373",640.86
"H00374",596
"H00375",565.39
"H00376",557.57
"H00377",549.96
"H00378",515
"H00379",505
"H00380",495.48
"H00381",461.84
"H00382",456.56
"H00383",447.66
"H00384",362.63
"H00385",359.41
"H00386",358.47
"H00387",358.46
"H00388",354.29
"H00389",354.27
"H00390",332.84
"H00391",331.59
"H00392",322.41
"H00393",264.6
"H00394",262.81
"H00395",250
"H00396",244.11
"H00397",226.41
"H00398",119.98
"H00399",53.7
"H00400",9619.48
"H00401",9377.82
"H00402",7487.11
"H00403",7444.98
"H00404",6621.64
"H00405",6460.23
"H00406",6282.92
"H00407",5871.55
"H00408",5792.79
"H00409",5748.28
"H00410",5540.07
"H00411",5390.83
"H00412",4318.67
"H00413",4218.09
"H00414",4173.63
"H00415",4043.46
"H00416",3367.26
"H00417",3234.22
"H00418",3118.5
"H00419",3023
"H00420",2983.48
"H00421",2815.14
"H00422",2495.8
"H00423",2362.89
"H00424",2288
"H00425",2007.78
"H00426",1936.69
"H00427",1816.41
"H00428",1595.67
"H00429",1553.53
"H00430",1500
"H00431",1463.34
"H00432",1441.76
"H00433",1388.48
"H00434",1384.13
"H00435",1298.89
"H00436",1278.84
"H00437",1176.97
"H00438",1139.6
"H00439",1113.15
"H00440",1111.55
"H00441",1061.67
"H00442",1061.34
"H00443",1039.33
"H00444",1029
"H00445",1007.6
"H00446",1000
"H00447",958.34
"H00448",952.05
"H00449",921.93
"H00450",870.19
"H00451",821.81
"H00452",806.61
"H00453",761.19
"H00454",746.89
"H00455",733.99
"H00456",724.77
"H00457",713.42
"H00458",688.55
"H00459",688.3
"H00460",685.13
"H00461",644.87
"H00462",640.85
"H00463",638.2
"H00464",618.13
"H00465",595.65
"H00466",512.28
"H00467",507.31
"H00468",502.28
"H00469",489.86
"H00470",489.1
"H00471",485.66
"H00472",443.1
"H00473",420.14
"H00474",411.9
"H00475",293.75
"H00476",257.41
"H00477",248.86
"H00478",189.84
"H00479",188.61
"H00480",152.41
"H00481",150.01
"H00482",117.4
"H00483",68
"H00484",42.32
"H00485",12714.43
"H00486",10116.07
"H00487",9704.25
"H00488",8523.02
"H00489",7063.08
"H00490",5881.62
"H00491",4962.54
"H00492",4635
"H00493",4516.61
"H00494",4387.11
"H00495",4288.59
"H00496",4098.25
"H00497",3334.19
"H00498",3076.32
"H00499",2866.99
"H00500",2786.21
"H00501",2679.55
"H00502",2591.51
"H00503",2500
"H00504",2440.38
"H00505",2425
"H00506",2330
"H00507",2266
"H00508",2203.94
"H00509",2186.7
"H00510",2144.46
"H00511",1972.9
"H00512",1949.14
"H00513",1887.98
"H00514",1852.5
"H00515",1834.35
"H00516",1765.83
"H00517",1722.82
"H00518",1705
"H00519",1699.52
"H00520",1595.28
"H00521",1539.07
"H00522",1494.41
"H00523",1476.43
"H00524",1465.95
"H00525",1460.96
"H00526",1460.2
"H00527",1458.13
"H00528",1371.66
"H00529",1370.45
"H00530",1349.86
"H00531",1327.24
"H00532",1256.02
"H00533",1253.41
"H00534",1216.32
"H00535",1172.96
"H00536",1119.52
"H00537",1115.91
"H00538",1077.66
"H00539",1072.24
"H00540",1064.77
"H00541",1051.47
"H00542",1025.02
"H00543",1018.5
"H00544",990.07
"H00545",988.75
"H00546",987.73
"H00547",987
"H00548",966.85
"H00549",961.55
"H00550",924.61
"H00551",904.84
"H00552",887.04
"H00553",856.26
"H00554",853.88
"H00555",822.2
"H00556",782.44
"H00557",729.32
"H00558",706.22
"H00559",700
"H00560",699.49
"H00561",677.76
"H00562",646.17
"H00563",629.84
"H00564",604.75
"H00565",601.23
"H00566",596.32
"H00567",563.78
"H00568",563.58
"H00569",527.81
"H00570",500.37
"H00571",492.56
"H00572",477.96
"H00573",459
"H00574",414.34
"H00575",408.9
"H00576",407.66
"H00577",397.99
"H00578",397.51
"H00579",380
"H00580",377.36
"H00581",368.93
"H00582",356.25
"H00583",329.98
"H00584",319.67
"H00585",317.56
"H00586",309.39
"H00587",297.49
"H00588",294.84
"H00589",279.1
"H00590",244.4
"H00591",201.81
"H00592",200
"H00593",196
"H00594",176.07
"H00595",169.5
"H00596",161.43
"H00597",154.75
"H00598",146.11
"H00599",79.59
"H00600",28083.99
"H00601",15566.84
"H00602",13193.1
"H00603",9811.3
"H00604",8493.76
"H00605",6132.24
"H00606",5037.9
"H00607",4885.08
"H00608",3978.09
"H00609",3846.07
"H00610",3809.83
"H00611",3334.21
"H00612",3222.66
"H00613",2997.83
"H00614",2750
"H00615",2607.81
"H00616",2511.41
"H00617",2254.87
"H00618",2179.51
"H00619",2149.17
"H00620",1975
"H00621",1897.85
"H00622",1857.92
"H00623",1697.72
"H00624",1619.1
"H00625",1513.56
"H00626",1500.65
"H00627",1488.14
"H00628",1442.94
"H00629",1437.68
"H00630",1350.04
"H00631",1237.06
"H00632",1200
"H00633",1122.33
"H00634",1113.38
"H00635",1082.25
"H00636",1059.58
"H00637",1037.14
"H00638",1000.03
"H00639",957.72
"H00640",954.6
"H00641",953.15
"H00642",917.88
"H00643",903.93
"H00644",870.6
"H00645",860.34
"H00646",849.68
"H00647",846.97
"H00648",842.8
"H00649",818.55
"H00650",787.62
"H00651",783.6
"H00652",766.4
"H00653",743.42
"H00654",706.58
"H00655",703.76
"H00656",677.88
"H00657",673.76
"H00658",663.17
"H00659",640.4
"H00660",633.48
"H00661",619.06
"H00662",605.43
"H00663",600
"H00664",544.9
"H00665",497.35
"H00666",465.45
"H00667",454.65
"H00668",419.18
"H00669",408.73
"H00670",399.29
"H00671",371.6
"H00672",370.79
"H00673",366.19
"H00674",342.08
"H00675",312.58
"H00676",308.7
"H00677",298.62
"H00678",220
"H00679",220
"H00680",208.85
"H00681",206.05
"H00682",189.06
"H00683",175
"H00684",160.2
"H00685",133.75
"H00686",130.94
"H00687",105.5
"H00688",81.24
"H00689",75
"H00690",65.84
"H00691",35.45
"H00692",35
"H00693",25
"H00694",23015.61
"H00695",9526.8
"H00696",8323.31
"H00697",7085.35
"H00698",6857.5
"H00699",6751.49
"H00700",6419.37
"H00701",6291.84
"H00702",5999.42
"H00703",5601.33
"H00704",5502.07
"H00705",5262.48
"H00706",4921.14
"H00707",4904.64
"H00708",4096.58
"H00709",3749.91
"H00710",3708.88
"H00711",3471.25
"H00712",3334.65
"H00713",3126.33
"H00714",3009.29
"H00715",2458.07
"H00716",2425.62
"H00717",2360.95
"H00718",2360.87
"H00719",2173.7
"H00720",2011.26
"H00721",1954.97
"H00722",1937.14
"H00723",1764.25
"H00724",1755.95
"H00725",1724.86
"H00726",1690.5
"H00727",1614
"H00728",1515.02
"H00729",1445.35
"H00730",1443.65
"H00731",1433.45
"H00732",1404.12
"H00733",1288.76
"H00734",1279.43
"H00735",1271.81
"H00736",1250
"H00737",1176.91
"H00738",1170.56
"H00739",1160.63
"H00740",1113.92
"H00741",1098.37
"H00742",1051.93
"H00743",1048.32
"H00744",998.28
"H00745",987.19
"H00746",959.81
"H00747",928.81
"H00748",914.62
"H00749",897.41
"H00750",891.44
"H00751",853.46
"H00752",830.26
"H00753",821.48
"H00754",821
"H00755",818.79
"H00756",796.55
"H00757",779.25
"H00758",773.72
"H00759",705.2
"H00760",659
"H00761",658.98
"H00762",651.57
"H00763",646.79
"H00764",616.53
"H00765",603.09
"H00766",600.83
"H00767",586.25
"H00768",584.61
"H00769",557.96
"H00770",525
"H00771",485.9
"H00772",481
"H00773",466.8
"H00774",457.64
"H00775",450.11
"H00776",437.03
"H00777",417.04
"H00778",403.97
"H00779",399.9
"H00780",395.01
"H00781",371.63
"H00782",365.5
"H00783",363.93
"H00784",355
"H00785",319.48
"H00786",317.5
"H00787",302.45
"H00788",300
"H00789",299.63
"H00790",297.28
"H00791",295.27
"H00792",280.05
"H00793",275.43
"H00794",233.42
"H00795",218.48
"H00796",196.81
"H00797",146.56
"H00798",115.61
"H00799",100
"H00800",94.5
"H00801",50
"H00802",37.9
"H00803",21986.1
"H00804",15128.09
"H00805",14651.31
"H00806",13068.69
"H00807",10661.97
"H00808",6754.81
"H00809",6308.16
"H00810",5071.99
"H00811",4911.64
"H00812",4894.66
"H00813",4869.12
"H00814",4809.52
"H00815",4602.83
"H00816",4502.15
"H00817",4335.74
"H00818",4114.24
"H00819",4033.65
"H00820",3611.65
"H00821",3604.81
"H00822",3404.67
"H00823",3057.71
"H00824",3045.7
"H00825",2983.13
"H00826",2884.46
"H00827",2805.09
"H00828",2742.24
"H00829",2591.33
"H00830",2536.93
"H00831",2529.89
"H00832",2497.72
"H00833",2473.5
"H00834",2419.75
"H00835",2382.7
"H00836",2272.12
"H00837",2266.97
"H00838",2189.59
"H00839",2008.04
"H00840",1917.5
"H00841",1897.25
"H00842",1858.52
"H00843",1830.94
"H00844",1800.65
"H00845",1712.42
"H00846",1672.67
"H00847",1658.12
"H00848",1625.13
"H00849",1597.37
"H00850",1502.91
"H00851",1465.08
"H00852",1389.18
"H00853",1356.31
"H00854",1347.74
"H00855",1321.88
"H00856",1321.7
"H00857",1308
"H00858",1307.37
"H00859",1305
"H00860",1303.88
"H00861",1294.47
"H00862",1290.15
"H00863",1281.3
"H00864",1277.87
"H00865",1233.72
"H00866",1135
"H00867",1109.37
"H00868",1077.95
"H00869",1072.58
"H00870",1070.04
"H00871",1002.7
"H00872",981.86
"H00873",980.83
"H00874",958.41
"H00875",954.54
"H00876",929.82
"H00877",843.98
"H00878",817.62
"H00879",774.78
"H00880",766.39
"H00881",728.2
"H00882",712
"H00883",699.5
"H00884",695.16
"H00885",647.34
"H00886",640.23
"H00887",636.65
"H00888",634.48
"H00889",614.62
"H00890",603.23
"H00891",601.69
"H00892",549.12
"H00893",532.49
"H00894",523
"H00895",500
"H00896",485.1
"H00897",484.76
"H00898",477.84
"H00899",475
"H00900",475
"H00901",471.52
"H00902",463.96
"H00903",462.93
"H00904",460.22
"H00905",446.74
"H00906",439.89
"H00907",430.38
"H00908",429.28
"H00909",388.71
"H00910",357.29
"H00911",353.7
"H00912",353.51
"H00913",338.47
"H00914",327.13
"H00915",316.93
"H00916",276.67
"H00917",224.7
"H00918",169.67
"H00919",150.5
"H00920",120.32
"H00921",114.13
"H00922",112.78
"H00923",108.69
"H00924",85
"H00925",52.4
"H00926",50
"H00927",12698.8
"H00928",12151.86
"H00929",10036.66
"H00930",6250.84
"H00931",6031.2
"H00932",5941.02
"H00933",5273.85
"H00934",5186.82
"H00935",4875.39
"H00936",4474
"H00937",4451.39
"H00938",4164.34
"H00939",4126.23
"H00940",3998.3
"H00941",3968.51
"H00942",3895.6
"H00943",3591.6
"H00944",3549.9
"H00945",3538.43
"H00946",3392.58
"H00947",3342.06
"H00948",3103.18
"H00949",2783.42
"H00950",2512.6
"H00951",2412.71
"H00952",2277.98
"H00953",2264.59
"H00954",2262.76
"H00955",2180.01
"H00956",2083.86
"H00957",1988.29
"H00958",1979.14
"H00959",1879.51
"H00960",1873.96
"H00961",1792.54
"H00962",1745.82
"H00963",1654.87
"H00964",1607.6
"H00965",1543.36
"H00966",1536.05
"H00967",1475.44
"H00968",1436
"H00969",1424.44
"H00970",1403.26
"H00971",1395.58
"H00972",1342.83
"H00973",1285
"H00974",1278.57
"H00975",1238
"H00976",1208.67
"H00977",1206.5
"H00978",1180.56
"H00979",1130
"H00980",1081.71
"H00981",1074.87
"H00982",1033.84
"H00983",1013.81
"H00984",1013.34
"H00985",964.72
"H00986",950
"H00987",921.86
"H00988",886.31
"H00989",884
"H00990",877.43
"H00991",815.8
"H00992",797.07
"H00993",790.84
"H00994",782.38
"H00995",733
"H00996",692.12
"H00997",684.72
"H00998",671.59
"H00999",655
"H01000",638.17
"H01001",610
"H01002",601.29
"H01003",598.48
"H01004",560
"H01005",556.89
"H01006",543.62
"H01007",541.02
"H01008",522.31
"H01009",508.83
"H01010",498.9
"H01011",471.2
"H01012",464.58
"H01013",457.11
"H01014",446.94
"H01015",438.34
"H01016",435.98
"H01017",422.3
"H01018",420.31
"H01019",410.21
"H01020",394.82
"H01021",375
"H01022",361.37
"H01023",361.02
"H01024",350.95
"H01025",335.83
"H01026",298.36
"H01027",296.6
"H01028",280
"H01029",268.92
"H01030",264.6
"H01031",243.14
"H01032",202.04
"H01033",200
"H01034",171.7
"H01035",149.04
"H01036",134.04
"H01037",60
"H01038",40
"H01039",39.07
"H01040",26.42
"H01041",11624.51
"H01042",5778.48
"H01043",5107
"H01044",4537.4
"H01045",4314.82
"H01046",4156.17
"H01047",3907
"H01048",3759.64
"H01049",3758.66
"H01050",3685.6
"H01051",3680.74
"H01052",3633.92
"H01053",3454.22
"H01054",3203.35
"H01055",3184.84
"H01056",3138.2
"H01057",3094.47
"H01058",3060.69
"H01059",2879.38
"H01060",2773.29
"H01061",2329.88
"H01062",2227.87
"H01063",2171.93
"H01064",2137.81
"H01065",2112.41
"H01066",2095.09
"H01067",2084
"H01068",2017.45
"H01069",2000
"H01070",1915.77
"H01071",1836.79
"H01072",1759.52
"H01073",1727.85
"H01074",1700
"H01075",1644.11
"H01076",1606.83
"H01077",1550
"H01078",1539.82
"H01079",1470.35
"H01080",1447.24
"H01081",1367.93
"H01082",1354.81
"H01083",1344.7
"H01084",1321.42
"H01085",1271.55
"H01086",1252.25
"H01087",1250.04
"H01088",1232.67
"H01089",1229.01
"H01090",1194.26
"H01091",1160.56
"H01092",1145.85
"H01093",1145.34
"H01094",1138.5
"H01095",1093.31
"H01096",1063.48
"H01097",1048.43
"H01098",1046.07
"H01099",1040
"H01100",1011.24
"H01101",1010.94
"H01102",910.38
"H01103",897.27
"H01104",885.34
"H01105",862.83
"H01106",836.97
"H01107",809.6
"H01108",802.51
"H01109",781.14
"H01110",768.02
"H01111",759.55
"H01112",750
"H01113",744.2
"H01114",714.16
"H01115",713.52
"H01116",700
"H01117",698.14
"H01118",686.13
"H01119",675
"H01120",657.75
"H01121",652.98
"H01122",644.49
"H01123",617.89
"H01124",604.45
"H01125",593.94
"H01126",585.79
"H01127",575.36
"H01128",569.33
"H01129",562.88
"H01130",562.32
"H01131",562.32
"H01132",555.34
"H01133",542.39
"H01134",533.11
"H01135",528.09
"H01136",497.62
"H01137",477
"H01138",459.1
"H01139",443.92
"H01140",438.42
"H01141",435.5
"H01142",426.21
"H01143",424.13
"H01144",387.3
"H01145",380.14
"H01146",375.85
"H01147",369.68
"H01148",366.8
"H01149",365.9
"H01150",365
"H01151",337.3
"H01152",335.92
"H01153",317.2
"H01154",279.52
"H01155",265.25
"H01156",253.75
"H01157",250
"H01158",242.1
"H01159",242.04
"H01160",223.77
"H01161",184.39
"H01162",176.57
"H01163",148.65
"H01164",142.29
"H01165",136.49
"H01166",127.32
"H01167",98.5
"H01168",9270.85
"H01169",6317.26
"H01170",5700.37
"H01171",5340.71
"H01172",4880.68
"H01173",4408.88
"H01174",4222.4
"H01175",4184.46
"H01176",4082.49
"H01177",4061.29
"H01178",3877.24
"H01179",3748.89
"H01180",3744.25
"H01181",3502.5
"H01182",3144.21
"H01183",3099.64
"H01184",2973.95
"H01185",2950.93
"H01186",2936.81
"H01187",2922.24
"H01188",2808.92
"H01189",2631.23
"H01190",2612.16
"H01191",2589.13
"H01192",2532.61
"H01193",2450.64
"H01194",2310.7
"H01195",2294.04
"H01196",2200
"H01197",2172
"H01198",2154.02
"H01199",2126.38
"H01200",2049.36
"H01201",1941
"H01202",1846.1
"H01203",1807.01
"H01204",1688.78
"H01205",1661.77
"H01206",1655.12
"H01207",1622.86
"H01208",1531.05
"H01209",1530.85
"H01210",1503.97
"H01211",1491.06
"H01212",1439.9
"H01213",1421.18
"H01214",1298.34
"H01215",1270.9
"H01216",1253.3
"H01217",1225.7
"H01218",1201.93
"H01219",1196.69
"H01220",1178.9
"H01221",1155.36
"H01222",1132.08
"H01223",1126.5
"H01224",1118.91
"H01225",1053.29
"H01226",1042.1
"H01227",994.41
"H01228",980.44
"H01229",918.29
"H01230",911.34
"H01231",905.62
"H01232",887.51
"H01233",876.39
"H01234",871.18
"H01235",843.91
"H01236",818.01
"H01237",815
"H01238",762.72
"H01239",755.9
"H01240",749.64
"H01241",741.49
"H01242",735.27
"H01243",726.19
"H01244",725.71
"H01245",722.02
"H01246",716.96
"H01247",714.05
"H01248",710.94
"H01249",708.22
"H01250",694.8
"H01251",684.29
"H01252",672.53
"H01253",648.06
"H01254",648.06
"H01255",628.74
"H01256",625.1
"H01257",615.44
"H01258",601.29
"H01259",593.46
"H01260",581.34
"H01261",575.93
"H01262",554.27
"H01263",552.07
"H01264",550.2
"H01265",538.08
"H01266",529.18
"H01267",516.81
"H01268",513.42
"H01269",481.31
"H01270",476.64
"H01271",475.84
"H01272",449.24
"H01273",436.66
"H01274",393.64
"H01275",383.88
"H01276",365.23
"H01277",364.53
"H01278",355.59
"H01279",329.17
"H01280",328.79
"H01281",320.41
"H01282",312.7
"H01283",305.85
"H01284",302.54
"H01285",300
"H01286",278.6
"H01287",278.55
"H01288",256.32
"H01289",250.35
"H01290",248.68
"H01291",244.7
"H01292",243.44
"H01293",240.9
"H01294",236.2
"H01295",235.92
"H01296",222.53
"H01297",216.14
"H01298",200.39
"H01299",192.87
"H01300",152.71
"H01301",131
"H01302",84.08
"H01303",49.95
"H01304",28.46
"H01305",15096.47
"H01306",13058.85
"H01307",9366.59
"H01308",7777.69
"H01309",6950.54
"H01310",6297.15
"H01311",6233.63
"H01312",6129.28
"H01313",5844.67
"H01314",5816.51
"H01315",5519.14
"H01316",5203.42
"H01317",5169.76
"H01318",5145.57
"H01319",4578.06
"H01320",4489.12
"H01321",4317.72
"H01322",4316.14
"H01323",4063.07
"H01324",4023.74
"H01325",3990
"H01326",3959.08
"H01327",3274.13
"H01328",2930
"H01329",2805.41
"H01330",2779.44
"H01331",2437.85
"H01332",2380.84
"H01333",2353.86
"H01334",2342.02
"H01335",2257.08
"H01336",2224.66
"H01337",2143.11
"H01338",2112.46
"H01339",2103.54
"H01340",2100
"H01341",2069.15
"H01342",2000
"H01343",1904.4
"H01344",1901.28
"H01345",1806.66
"H01346",1723.11
"H01347",1694.26
"H01348",1689.06
"H01349",1599.08
"H01350",1537.38
"H01351",1536.55
"H01352",1505
"H01353",1500
"H01354",1448.67
"H01355",1386.41
"H01356",1371.85
"H01357",1276.36
"H01358",1270.17
"H01359",1264.44
"H01360",1249.17
"H01361",1235.67
"H01362",1224.79
"H01363",1203.81
"H01364",1187.42
"H01365",1173.79
"H01366",1168.37
"H01367",1113.74
"H01368",1103.23
"H01369",1100
"H01370",1043.4
"H01371",1035.13
"H01372",1027.16
"H01373",1021.64
"H01374",1011.23
"H01375",993.59
"H01376",913.58
"H01377",907.45
"H01378",904.5
"H01379",903
"H01380",900
"H01381",864.04
"H01382",820.03
"H01383",805.37
"H01384",796.37
"H01385",787.03
"H01386",773.42
"H01387",756.68
"H01388",756.47
"H01389",754.95
"H01390",737.92
"H01391",730.41
"H01392",723.51
"H01393",704.92
"H01394",700
"H01395",667.91
"H01396",644.9
"H01397",605.8
"H01398",600
"H01399",596.1
"H01400",590.58
"H01401",583.76
"H01402",580.32
"H01403",579.63
"H01404",569.38
"H01405",559.85
"H01406",544.85
"H01407",534.47
"H01408",520.43
"H01409",500
"H01410",495
"H01411",474.16
"H01412",449.12
"H01413",426.54
"H01414",416.3
"H01415",406.35
"H01416",392
"H01417",376.46
"H01418",321.06
"H01419",282.03
"H01420",275.94
"H01421",265.08
"H01422",253.55
"H01423",248.3
"H01424",229.13
"H01425",211.87
"H01426",206.03
"H01427",196.09
"H01428",192.03
"H01429",170.97
"H01430",165.31
"H01431",91.27
"H01432",71.86
"H01433",50
"H01434",12261.67
"H01435",8867.37
"H01436",8787.5
"H01437",7205.79
"H01438",6441.62
"H01439",6013.74
"H01440",5819.71
"H01441",4903.68
"H01442",4804.22
"H01443",4791.88
"H01444",4634.09
"H01445",4587.39
"H01446",4229.61
"H01447",4147.09
"H01448",3887.19
"H01449",3700
"H01450",3394.17
"H01451",3179.28
"H01452",3171.66
"H01453",3000
"H01454",2893.53
"H01455",2690.8
"H01456",2631.19
"H01457",2627.61
"H01458",2593
"H01459",2503.09
"H01460",2477.47
"H01461",2403.63
"H01462",2393.73
"H01463",2391.88
"H01464",2366.44
"H01465",2282.76
"H01466",2270.25
"H01467",2249.34
"H01468",2163
"H01469",2143.02
"H01470",2040
"H01471",2026.3
"H01472",2014.6
"H01473",1916.21
"H01474",1911.22
"H01475",1901.01
"H01476",1896.72
"H01477",1773.94
"H01478",1683.05
"H01479",1673.91
"H01480",1622.95
"H01481",1591.4
"H01482",1525.52
"H01483",1477.61
"H01484",1451.83
"H01485",1411.83
"H01486",1405.19
"H01487",1396.28
"H01488",1382.61
"H01489",1327.69
"H01490",1308.73
"H01491",1211.21
"H01492",1209.08
"H01493",1170
"H01494",1133.56
"H01495",1120.14
"H01496",1108.5
"H01497",1105.04
