"Claim No","State","CLASS","Gender","Age","Claim Amount"
"H00162","STATE 17","C11","M",86,557.18
"H00163","STATE 15","F6 ","M",86,519.75
"H00164","STATE 02","F6 ","F",86,499.59
"H00165","STATE 02","C1 ","M",86,499.28
"H00166","STATE 15","F11",,86,484.03
"H00167","STATE 15","F6 ","F",,435
"H00168","STATE 02","F11","M",86,402.32
"H00169","STATE 17","F6 ","F",86,376
"H00170","STATE 15","C6 ","F",,365.26
"H00171","STATE 15","C6 ","F",86,357
"H00172","STATE 03","C6 ","M",,351.38
"H00173","STATE 14","C6 ",,86,333.37
"H00174","STATE 04","F6 ","M",,329.16
"H00175","STATE 17","C6 ","F",86,322.34
"H00176","STATE 03","C11","F",86,318.07
"H00177","STATE 15","C6 ","F",,239.4
"H00178","STATE 14","C11","M",86,196.1
"H00179","STATE 01","C6 ","M",86,122.41
"H00180","STATE 15","C6 ","F",86,71.19
"H00181","STATE 15","C6 ","F",85,12234.82
"H00182","STATE 17","C11",,85,10829.25
"H00183","STATE 14","C6 ","F",85,10630.81
"H00184","STATE 01","C11","M",,10524.64
"H00185","STATE 15","F6 ","M",85,
"H00186","STATE 15","C11","M",85,7186.92
"H00187","STATE 17","C6 ","M",85,6854.02
"H00188","STATE 15","C11","M",85,
"H00189","STATE 06","C11","F",85,6130.31
"H00190","STATE 12","C6 ","F",85,
"H00191","STATE 02","C6 ","F",85,
"H00192","STATE 15","C6 ","F",85,3783.74
"H00193","STATE 06","C6 ","F",,3735.9
"H00194","STATE 15","F6 ","M",85,3610.27
"H00195","STATE 15","F6 ","M",,3549.95
"H00196","STATE 15","C11",,85,3425.62
"H00197","STATE 02","F6 ","F",,3376.9
"H00198","STATE 12","C6 ","M",85,3206.76
"H00199","STATE 15","C6 ","F",,2788.24
"H00200","STATE 15","C6 ","M",,2764.49
"H00201","STATE 02","C6 ","M",85,2724.04
"H00202","STATE 15","C6 ","M",,2334.58
"H00203","STATE 15","F6 ","M",85,2300
"H00204","STATE 15","C11","F",,2269
"H00205","STATE 04","C6 ","F",85,2249.45
"H00206","STATE 04","C11","M",85,2169.88
"H00207","STATE 02","C11","M",,2015.32
"H00208","STATE 15","C6 ","M",85,1929.81
"H00209","STATE 17","F6 ","F",85,1924.69
"H00210","STATE 15","C6 ","M",85,1638.49
"H00211","STATE 15","C11","M",85,1209.52
"H00212","STATE 02","C11","F",85,1200
"H00213","STATE 14","C11","M",85,1134.63
"H00214","STATE 15","C11","F",85,1061.8
"H00215","STATE 04","C11","M",85,1056.18
"H00216","STATE 04","C6 ","M",85,1006.41
"H00217","STATE 15","F6 ","M",85,989.28
"H00218","STATE 15","F6 ","M",85,970.31
"H00219","STATE 17","C11","F",85,945.8
"H00220","STATE 02","C11","M",85,899.13
"H00221","STATE 04","C11","F",85,892.6
"H00222","STATE 15","C6 ","F",85,865.12
"H00223","STATE 06","C11","M",85,782.2
"H00224","STATE 04","F6 ","M",85,774.68
"H00225","STATE 03","C11","F",85,742.91
"H00226","STATE 06","C1 ","M",85,683.57
"H00227","STATE 04","C1 ","F",85,666.33
"H00228","STATE 02","C6 ","F",,649.74
"H00229","STATE 02","C6 ","M",85,628.19
"H00230","STATE 17","C11","F",85,503.78
"H00231","STATE 02","C6 ","M",85,498.74
"H00232","STATE 04","C11","M",85,444.39
"H00233","STATE 03","C11","F",85,405.39
"H00234","STATE 15","C1 ","F",85,382.33
"H00235","STATE 07","C6 ","M",,304.22
"H00236","STATE 01","F6 ",,,274.8
"H00237","STATE 03","C11","F",85,248.49
"H00238","STATE 15","C6 ","F",85,195.3
"H00239","STATE 02","C6 ","M",,193.23
"H00240","STATE 15","F6 ","F",85,187.72
"H00241","STATE 15","C6 ","F",,179.55
"H00242","STATE 15","C6 ","F",,135.67
"H00243","STATE 02","C6 ","M",,101.16
"H00244","STATE 15","C6 ",,85,86.43
"H00245","STATE 03","C1 ","M",84,14639.15
"H00246","STATE 12","C1 ","F",84,11010.46
"H00247","STATE 07","C1B","M",84,10174.4
"H00248","STATE 06","F6 ","M",84,9475.74
"H00249","STATE 07","C11","F",84,
"H00250","STATE 15","C11","M",84,8124.98
"H00251","STATE 04","C11","F",84,7833.52
"H00252","STATE 06","C11","M",84,7610
"H00253","STATE 17","C11","M",84,7326.67
"H00254","STATE 17","F6 ","M",84,
"H00255","STATE 15","C6 ","M",,
"H00256","STATE 02","C6 ","M",,5301.72
"H00257","STATE 15","C6 ","M",,4831.97
"H00258","STATE 10","C6 ","F",84,4476.68
"H00259","STATE 15","C11","M",84,4076.88
"H00260","STATE 06","C6 ","M",84,3740.21
"H00261","STATE 02","C11","M",84,3596.5
"H00262","STATE 15","C6 ","M",,3043
"H00263","STATE 04","C11","M",84,2606.03
"H00264","STATE 02","C1 ","M",84,2589.5
"H00265","STATE 17","C6 ","F",,2528.13
"H00266","STATE 03","F6 ","M",84,2501.97
"H00267","STATE 15","C11","M",84,2322.72
"H00268","STATE 15","C1 ","M",84,2133.62
"H00269","STATE 04","C11","M",84,1944.45
"H00270","STATE 06","C11","M",,1879.54
"H00271","STATE 12","C1 ","F",84,1522.65
"H00272","STATE 14","C6 ","F",,1491.69
"H00273","STATE 10","C6 ","F",84,1485.52
"H00274","STATE 12","C6 ","F",,1472.05
"H00275","STATE 01","F6 ","M",,1314.4
"H00276","STATE 15","F6 ","F",84,1223.3
"H00277","STATE 15","C6 ","M",,1106.86
"H00278","STATE 04","C11","M",,1032.14
"H00279","STATE 04","C11","F",84,1015.62
"H00280","STATE 15","C11","F",84,953.72
"H00281","STATE 02","C11","F",84,937.96
"H00282","STATE 07","C11","M",84,906.62
"H00283","STATE 17","C6 ","M",84,836.78
"H00284","STATE 02","C6 ","M",84,820.64
"H00285","STATE 01","C6 ","M",84,774.87
"H00286","STATE 10","C6 ","F",84,696.57
"H00287","STATE 10","C6 ","F",,687.56
"H00288","STATE 02","C11","F",84,685.88
"H00289","STATE 15","C6 ","M",84,581.7
"H00290","STATE 15","C6 ","M",84,570.89
"H00291","STATE 15","C1 ","F",84,548.94
"H00292","STATE 04","F6 ","M",,522.75
"H00293","STATE 04","C11","M",84,517.97
"H00294","STATE 03","C11","M",84,504.46
"H00295","STATE 14","C1 ","M",84,491.4
"H00296","STATE 15","C11","M",84,479
"H00297","STATE 15","C6 ","F",84,462.17
"H00298","STATE 01","C6 ","M",84,451.53
"H00299","STATE 07","C1B","M",84,426.19
"H00300","STATE 02","F6 ","M",,403.61
"H00301","STATE 15","C6 ","F",84,398.95
"H00302","STATE 15","C6 ","F",84,393
"H00303","STATE 02","C11","M",84,368.32
"H00304","STATE 02","C6 ","F",84,363.75
"H00305","STATE 15","C6 ","M",,359.44
"H00306","STATE 02","C11","M",84,356.07
"H00307","STATE 12","C6 ","M",,343.25
"H00308","STATE 15","C11","M",84,340.03
"H00309","STATE 15","C11","M",84,339.51
"H00310","STATE 04","C11","M",84,305.69
"H00311","STATE 04","C11","F",84,288.3
"H00312","STATE 14","C6 ","F",,266.8
"H00313","STATE 13","C6 ","M",84,224.6
"H00314","STATE 02","C6 ","F",84,186.97
"H00315","STATE 06","C6 ","M",,143.7
"H00316","STATE 10","F6 ","F",,125
"H00317","STATE 04","C6 ","M",83,12124.64
"H00318","STATE 15","C1 ","M",,11051.5
"H00319","STATE 04","C11","F",83,11043.09
"H00320","STATE 12","C6 ","M",83,8324.07
"H00321","STATE 02","C11","M",83,7885.15
"H00322","STATE 15","F11","F",83,7834.57
"H00323","STATE 17","C11","M",83,7415.03
"H00324","STATE 15","C11","M",83,6180.88
"H00325","STATE 15","C11","F",83,4369.38
"H00326","STATE 15","C1 ","F",83,3992.63
"H00327","STATE 15","C11","F",83,3651.67
"H00328","STATE 15","C6 ","F",83,3634.26
"H00329","STATE 03","C11","F",83,3599.2
"H00330","STATE 15","C6 ","M",83,3505.61
"H00331","STATE 03","C11","M",83,3112.89
"H00332","STATE 15","C6 ","M",83,3092.83
"H00333","STATE 12","C1B","F",83,2683.16
"H00334","STATE 15","C11","F",83,2606
"H00335","STATE 15","C6 ","M",83,2520
"H00336","STATE 02","C11","M",83,2500
"H00337","STATE 15","C6 ",,83,2460.3
"H00338","STATE 04","C11","M",83,2253.16
"H00339","STATE 15","C6 ","F",83,2229.05
"H00340","STATE 15","C11","F",83,2130.6
"H00341","STATE 04","F6 ","M",83,2049
"H00342","STATE 15","C6 ","M",,1994.56
"H00343","STATE 15","C11","M",83,1921.22
"H00344","STATE 15","C6 ","M",83,1701.82
"H00345","STATE 15","C1 ","M",83,1472.87
"H00346","STATE 15","C11","M",83,1468.48
"H00347","STATE 15","C11","M",83,1444.89
"H00348","STATE 07","C6 ","M",83,1392.52
"H00349","STATE 17","C11","F",83,1368.76
"H00350","STATE 17","C6 ","M",,1346.36
"H00351","STATE 17","C11","F",83,1335.27
"H00352","STATE 15","C1 ","F",83,1304.64
"H00353","STATE 04","F11","M",83,1275
"H00354","STATE 17","C11","F",83,1264.87
"H00355","STATE 15","C6 ","F",,1231.08
"H00356","STATE 13","C11","M",83,1073.61
"H00357","STATE 06","C6 ","M",83,1028.87
"H00358","STATE 15","C6 ","F",83,997.05
"H00359","STATE 15","C1 ","M",83,944.7
"H00360","STATE 15","C6 ","F",83,910.68
"H00361","STATE 03","C11","M",83,904.68
"H00362","STATE 15","C6 ","F",,872.18
"H00363","STATE 15","C6 ","M",83,868.69
"H00364","STATE 17","C11","M",83,801.39
"H00365","STATE 15","C11","M",83,772.23
"H00366","STATE 12","C6 ","M",,764.1
"H00367","STATE 15","C6 ","M",83,730.53
"H00368","STATE 15","C11","M",83,714.55
"H00369","STATE 01","F6 ","M",,708.92
"H00370","STATE 04","C11","M",83,701.82
"H00371","STATE 15","C6 ","M",83,688.67
"H00372","STATE 15","C11","M",83,685.59
"H00373","STATE 02","F6 ","M",83,640.86
"H00374","STATE 15","C6 ","M",83,596
"H00375","STATE 15","C6 ","M",83,565.39
"H00376","STATE 15","C11","M",83,557.57
"H00377","STATE 15","C6 ","M",,549.96
"H00378","STATE 06","C6 ","M",83,515
"H00379","STATE 15","C11","M",83,505
"H00380","STATE 04","C11","M",83,495.48
"H00381","STATE 07","C6 ","F",83,461.84
"H00382","STATE 02","C11","M",83,456.56
"H00383","STATE 02","C11","F",83,447.66
"H00384","STATE 04","C11","M",,362.63
"H00385","STATE 15","C1 ","M",83,359.41
"H00386","STATE 15","F6 ","M",83,358.47
"H00387","STATE 14","C6 ",,83,358.46
"H00388","STATE 02","C6 ","F",83,354.29
"H00389","STATE 02","F11","M",83,354.27
"H00390","STATE 15","C6 ",,83,332.84
"H00391","STATE 02","C1 ",,83,331.59
"H00392","STATE 15","C11","M",83,322.41
"H00393","STATE 15","C6 ","M",,264.6
"H00394","STATE 17","C6 ","M",83,262.81
"H00395","STATE 02","C1 ","F",83,250
"H00396","STATE 02","C6 ","F",83,244.11
"H00397","STATE 14","C1 ","F",83,226.41
"H00398","STATE 15","C6 ","F",,119.98
"H00399","STATE 15","C6 ","F",83,53.7
"H00400","STATE 15","C6 ","M",82,9619.48
"H00401","STATE 02","F6 ","F",82,
"H00402","STATE 06","C1 ","F",82,
"H00403","STATE 15","C6 ","F",82,7444.98
"H00404","STATE 06","C6 ","M",82,6621.64
"H00405","STATE 15","C6 ","F",82,6460.23
"H00406","STATE 15","C6 ","M",,
"H00407","STATE 03","C6 ","F",82,5871.55
"H00408","STATE 15","C6 ","M",82,5792.79
"H00409","STATE 04","F1 ","F",82,5748.28
"H00410","STATE 02","C6 ","M",82,
"H00411","STATE 04","C1 ","M",82,5390.83
"H00412","STATE 02","C6 ","F",82,4318.67
"H00413","STATE 15","C1B","M",82,4218.09
"H00414","STATE 15","C1 ","F",,
"H00415","STATE 13","C11","M",82,4043.46
"H00416","STATE 15","C6 ","M",,3367.26
"H00417","STATE 06","C6 ","M",,3234.22
"H00418","STATE 15","C11","M",82,3118.5
"H00419","STATE 12","C6 ","F",82,3023
"H00420","STATE 01","C6 ","M",,2983.48
"H00421","STATE 12","C6 ","F",,2815.14
"H00422","STATE 15","C11","M",82,2495.8
"H00423","STATE 15","C6 ","F",82,2362.89
"H00424","STATE 14","C11","F",82,2288
"H00425","STATE 15","C11","F",82,2007.78
"H00426","STATE 07","C6 ","F",82,1936.69
"H00427","STATE 02","C6 ","M",,1816.41
"H00428","STATE 17","C6 ","F",82,1595.67
"H00429","STATE 02","C11","F",82,1553.53
"H00430","STATE 01","F6 ","M",82,1500
"H00431","STATE 12","C6 ","M",,1463.34
"H00432","STATE 15","C1 ","F",82,1441.76
"H00433","STATE 15","C11","M",82,1388.48
"H00434","STATE 14","C6 ","M",82,1384.13
"H00435","STATE 02","C6 ","F",82,1298.89
"H00436","STATE 02","C11","F",82,1278.84
"H00437","STATE 15","C11","M",82,1176.97
"H00438","STATE 15","C6 ","M",82,1139.6
"H00439","STATE 04","C11","F",82,1113.15
"H00440","STATE 14","F1 ","M",82,1111.55
"H00441","STATE 07","C11","M",82,1061.67
"H00442","STATE 03","C6 ","M",82,1061.34
"H00443","STATE 15","C6 ",,,1039.33
"H00444","STATE 15","C11","M",82,1029
"H00445","STATE 02","C11",,82,1007.6
"H00446","STATE 15","C6 ","M",82,1000
"H00447","STATE 02","C6 ","F",82,958.34
"H00448","STATE 02","C11","M",82,952.05
"H00449","STATE 15","C11","M",82,921.93
"H00450","STATE 04","C11","F",82,870.19
"H00451","STATE 04","C6 ","F",,821.81
"H00452","STATE 15","C6 ","M",82,806.61
"H00453","STATE 17","C6 ","F",82,761.19
"H00454","STATE 15","C6 ","M",,746.89
"H00455","STATE 04","C11","M",82,733.99
"H00456","STATE 15","C11","M",82,724.77
"H00457","STATE 15","C11","F",82,713.42
"H00458","STATE 10","C11","F",82,688.55
"H00459","STATE 15","C6 ","F",,688.3
"H00460","STATE 04","C11","M",82,685.13
"H00461","STATE 02","C6 ","M",82,644.87
"H00462","STATE 03","C6 ","F",82,640.85
"H00463","STATE 02","C6 ","F",82,638.2
"H00464","STATE 15","C6 ","F",82,618.13
"H00465","STATE 17","C11","M",82,595.65
"H00466","STATE 04","F1 ","F",82,512.28
"H00467","STATE 15","C1 ","F",82,507.31
"H00468","STATE 06","C11",,82,502.28
"H00469","STATE 07","C11","F",82,489.86
"H00470","STATE 15","C6 ","F",,489.1
"H00471","STATE 15","C6 ","F",82,485.66
"H00472","STATE 15","F6 ","M",82,443.1
"H00473","STATE 14","F6 ","M",82,420.14
"H00474","STATE 15","C6 ","F",82,411.9
"H00475","STATE 15","C6 ","F",,293.75
"H00476","STATE 17","C6 ","F",,257.41
"H00477","STATE 17","C6 ","F",82,248.86
"H00478","STATE 03","C11","M",82,189.84
"H00479","STATE 02","C6 ","F",,188.61
"H00480","STATE 06","C6 ","M",82,152.41
"H00481","STATE 17","C11","M",82,150.01
"H00482","STATE 02","C11","F",82,117.4
"H00483","STATE 15","C1 ","M",82,68
"H00484","STATE 04","C11","M",82,42.32
"H00485","STATE 02","C1 ","M",81,12714.43
"H00486","STATE 15","C6 ","M",,10116.07
"H00487","STATE 15","F6 ","M",81,9704.25
"H00488","STATE 02","C1B","M",81,8523.02
"H00489","STATE 06","C6 ","M",81,7063.08
"H00490","STATE 17","C1 ","F",81,5881.62
"H00491","STATE 04","C11","F",81,4962.54
"H00492","STATE 11","C6 ","F",81,4635
"H00493","STATE 15","C6 ","M",81,4516.61
"H00494","STATE 17","C11","F",81,4387.11
"H00495","STATE 06","C6 ","F",,
"H00496","STATE 15","C6 ","M",,4098.25
"H00497","STATE 15","C6 ","F",81,3334.19
"H00498","STATE 15","C6 ","M",81,3076.32
"H00499","STATE 15","C6 ","F",81,2866.99
"H00500","STATE 07","C6 ","M",81,2786.21
"H00501","STATE 06","C11","F",81,2679.55
"H00502","STATE 15","C6 ","F",81,2591.51
"H00503","STATE 15","C6 ","M",,2500
"H00504","STATE 15","C6 ","M",,2440.38
"H00505","STATE 15","C11","F",81,2425
"H00506","STATE 15","C11","F",81,2330
"H00507","STATE 15","C6 ","M",81,2266
"H00508","STATE 06","C6 ","F",81,2203.94
"H00509","STATE 15","C6 ","F",81,2186.7
"H00510","STATE 17","C11","F",81,2144.46
"H00511","STATE 15","C11","M",81,1972.9
"H00512","STATE 04","C11","M",81,1949.14
"H00513","STATE 17","C6 ","F",81,1887.98
"H00514","STATE 15","C6 ","M",81,1852.5
"H00515","STATE 15","C6 ","M",81,1834.35
"H00516","STATE 06","C1B","M",81,1765.83
"H00517","STATE 15","C6 ","M",81,1722.82
"H00518","STATE 15","C6 ","M",81,1705
"H00519","STATE 03","C11","M",81,1699.52
"H00520","STATE 15","C6 ","F",81,1595.28
"H00521","STATE 15","C6 ","M",81,1539.07
"H00522","STATE 17","C6 ","M",81,1494.41
"H00523","STATE 10","C1 ","M",,1476.43
"H00524","STATE 02","C6 ","F",,1465.95
"H00525","STATE 15","C6 ",,81,1460.96
"H00526","STATE 15","C6 ","F",,1460.2
"H00527","STATE 15","C11","M",81,1458.13
"H00528","STATE 04","C11","M",81,1371.66
"H00529","STATE 02","C11","M",81,1370.45
"H00530","STATE 04","C11",,81,1349.86
"H00531","STATE 04","C11","M",81,1327.24
"H00532","STATE 15","C6 ","F",81,1256.02
"H00533","STATE 07","C6 ","F",,1253.41
"H00534","STATE 15","C6 ","M",81,1216.32
"H00535","STATE 01","C6 ","M",,1172.96
"H00536","STATE 15","F6 ","M",,1119.52
"H00537","STATE 04","C11","F",81,1115.91
"H00538","STATE 12","C6 ",,81,1077.66
"H00539","STATE 02","C6 ","M",81,1072.24
"H00540","STATE 02","C11","M",81,1064.77
"H00541","STATE 02","C1 ","M",81,1051.47
"H00542","STATE 03","C11","M",,1025.02
"H00543","STATE 02","C6 ","F",81,1018.5
"H00544","STATE 15","C11","M",81,990.07
"H00545","STATE 01","F11","M",,988.75
"H00546","STATE 15","C11","M",81,987.73
"H00547","STATE 10","C6 ","F",81,987
"H00548","STATE 15","C11","F",81,966.85
"H00549","STATE 15","C6 ","F",81,961.55
"H00550","STATE 03","C6 ","M",81,924.61
"H00551","STATE 06","C11","F",81,904.84
"H00552","STATE 15","C6 ","F",,887.04
"H00553","STATE 03","F6 ","M",81,856.26
"H00554","STATE 01","C11","M",81,853.88
"H00555","STATE 15","C6 ","F",,822.2
"H00556","STATE 15","C1 ","M",81,782.44
"H00557","STATE 02","C11","F",81,729.32
"H00558","STATE 15","C6 ","F",,706.22
"H00559","STATE 15","C1 ","F",81,700
"H00560","STATE 04","C11","M",81,699.49
"H00561","STATE 17","F6 ","F",81,677.76
"H00562","STATE 14","C1 ","M",81,646.17
"H00563","STATE 02","C11","M",81,629.84
"H00564","STATE 15","C11","F",81,604.75
"H00565","STATE 02","C11","M",81,601.23
"H00566","STATE 15","C11","F",81,596.32
"H00567","STATE 04","C6 ","F",81,563.78
"H00568","STATE 15","C6 ","F",81,563.58
"H00569","STATE 03","C11","M",81,527.81
"H00570","STATE 02","F6 ","M",81,500.37
"H00571","STATE 15","C1B","M",81,492.56
"H00572","STATE 15","C11","M",,477.96
"H00573","STATE 04","C11","M",,459
"H00574","STATE 14","F6 ","M",81,414.34
"H00575","STATE 03","C11","M",81,408.9
"H00576","STATE 04","C11","F",81,407.66
"H00577","STATE 17","C6 ","M",81,397.99
"H00578","STATE 03","C11","F",81,397.51
"H00579","STATE 15","C11","F",81,380
"H00580","STATE 14","C1 ","M",81,377.36
"H00581","STATE 02","C11","F",81,368.93
"H00582","STATE 15","C6 ",,81,356.25
"H00583","STATE 15","C11",,81,329.98
"H00584","STATE 15","C1 ","M",81,319.67
"H00585","STATE 15","C6 ","F",,317.56
"H00586","STATE 13","C1 ","M",81,309.39
"H00587","STATE 06","C6 ","M",81,297.49
"H00588","STATE 15","C6 ",,81,294.84
"H00589","STATE 17","C6 ","M",,279.1
"H00590","STATE 15","C1B","F",81,244.4
"H00591","STATE 03","C11","F",81,201.81
"H00592","STATE 15","C6 ","F",81,200
"H00593","STATE 04","F6 ","M",,196
"H00594","STATE 17","F6 ","M",81,176.07
"H00595","STATE 10","F6 ","F",,169.5
"H00596","STATE 15","C11","M",81,161.43
"H00597","STATE 17","F6 ","F",81,154.75
"H00598","STATE 11","C11",,81,146.11
"H00599","STATE 15","C6 ","M",81,79.59
"H00600","STATE 15","C6 ","M",,28083.99
